,cre_id,sales,date,selling_price,ppc,quotient,flag_min,global,comps1km,comps1km_2km,comps2km_5km,comps5km_10km,comps10km_plus,municipio,entidad,population,Cars,PIB per cápita (MXN),PIB
812,PL/8029/EXP/ES/2015,279117,29/08/24,25.91043011,26.05129032,0.99472043,23,6.299,1,1,2,0,0,elota,sinaloa,55339,19139,225547,696686
813,PL/8039/EXP/ES/2015,220092,14/08/24,24.3416129,23.43677419,1.039064516,0,6.714666667,1,1,0,2,10,mexicali,baja california,1049792,736892,325390,1233847
814,PL/8044/EXP/ES/2015,293752,04/08/24,21,20.17564516,1.044983871,0,6.32,0,5,15,0,0,rio bravo,tamaulipas,132484,65853,259394,928082
815,PL/8065/EXP/ES/2015,211462,23/08/24,23.0485,23.99066667,0.960483333,58,6.382,3,11,6,0,0,mexicali,baja california,1049792,736892,325390,1233847
816,PL/8140/EXP/ES/2015,412699,27/08/24,24.99752688,24.37032258,1.02588172,0,5.143666667,3,15,2,0,0,cuautitlan izcalli,mexico,555163,423260,162026,2854429
817,PL/8154/EXP/ES/2015,146545,22/08/24,24.81043011,25.08752688,0.989333333,25,7.119,2,5,6,4,3,san juan bautista tuxtepec,oaxaca,159452,49416,133172,570204
818,PL/8192/EXP/ES/2015,158029,17/08/24,24.55629032,24.50274194,1.001983871,0,7.676666667,2,4,7,6,1,teziutlan,puebla,103583,21073,165567,1086962
819,PL/825/EXP/ES/2015,989517,14/08/24,25.96688172,25.84602151,1.004483871,0,6.904333333,2,6,12,0,0,guadalajara,jalisco,1385629,1083269,272093,2359153
820,PL/829/EXP/ES/2015,421629,06/08/24,25.08032258,25.50817204,0.982924731,34,6.181666667,5,8,7,0,0,leon,guanajuato,1721215,698529,231175,1457908
821,PL/830/EXP/ES/2015,227433,19/08/24,19.99,19.92209677,1.003645161,0,7.065333333,3,8,9,0,0,juarez,chihuahua,1512450,688559,312450,1208697
822,PL/832/EXP/ES/2015,516377,16/08/24,22.80139785,23.04483871,0.988903226,33,8.21,1,0,1,6,12,nogales,sonora,264782,190834,372609,1118919
823,PL/833/EXP/ES/2015,450494,07/08/24,22.13677419,21.89677419,1.011080645,48,5.209333333,1,4,15,0,0,nogales,sonora,264782,190834,372609,1118919
824,PL/834/EXP/ES/2015,674119,06/08/24,23.03731183,22.60236559,1.020215054,0,5.319666667,3,9,8,0,0,nogales,sonora,264782,190834,372609,1118919
825,PL/8369/EXP/ES/2015,455575,15/08/24,24.37548387,24.7233871,0.986177419,8,6.026,2,9,9,0,0,chihuahua,chihuahua,937674,595572,312450,1208697
826,PL/838/EXP/ES/2015,699566,24/08/24,26.18247312,25.85129032,1.012774194,0,7.094666667,1,1,5,10,3,bahia de banderas,nayarit,187632,64164,168146,214501
827,PL/839/EXP/ES/2015,403816,01/08/24,26.13193548,25.88698925,1.009354839,0,5.172,0,5,10,5,0,bahia de banderas,nayarit,187632,64164,168146,214501
828,PL/840/EXP/ES/2015,405658,11/08/24,26.18247312,25.85129032,1.012774194,0,7.198333333,2,0,4,11,3,bahia de banderas,nayarit,187632,64164,168146,214501
829,PL/841/EXP/ES/2015,130589,10/08/24,25.08032258,25.10596774,0.999,62,5.948,3,12,5,0,0,leon,guanajuato,1721215,698529,231175,1457908
830,PL/842/EXP/ES/2015,384736,07/08/24,25.02225806,24.68516129,1.014225806,0,6.017333333,1,3,16,0,0,tijuana,baja california,1922523,1197583,325390,1233847
831,PL/846/EXP/ES/2015,219083,27/08/24,19.67421053,19.80192982,0.993666667,0,5.170363636,1,12,7,0,0,juarez,chihuahua,1512450,688559,312450,1208697
832,PL/847/EXP/ES/2015,223844,21/08/24,20.9525,21.20931818,0.98975,0,9.361882353,1,2,6,11,0,juarez,chihuahua,1512450,688559,312450,1208697
833,PL/849/EXP/ES/2015,434300,09/08/24,24.34806452,24.31602151,1.001043011,0,6.988,3,9,8,0,0,mexicali,baja california,1049792,736892,325390,1233847
834,PL/850/EXP/ES/2015,376456,09/08/24,24.40195652,24.17445652,1.00926087,0,5.956966292,3,11,6,0,0,mexicali,baja california,1049792,736892,325390,1233847
835,PL/8508/EXP/ES/2015,414291,09/08/24,25.98677419,25.77946237,1.008021505,0,6.563666667,4,7,9,0,0,cajeme,sonora,436484,284762,372609,1118919
836,PL/8540/EXP/ES/2015,601260,10/08/24,24.42333333,24.6111828,0.992505376,93,4.994666667,2,8,10,0,0,tijuana,baja california,1922523,1197583,325390,1233847
837,PL/8550/EXP/ES/2015,438159,28/08/24,24.58784946,24.76344086,0.992430108,27,5.590666667,4,14,2,0,0,tijuana,baja california,1922523,1197583,325390,1233847
838,PL/857/EXP/ES/2015,379609,04/08/24,20.80460674,21.10516854,0.98711236,0,7.908255814,0,0,4,16,0,juarez,chihuahua,1512450,688559,312450,1208697
839,PL/858/EXP/ES/2015,397856,01/08/24,19.97305085,19.97305085,1,0,6.290350877,0,1,13,6,0,juarez,chihuahua,1512450,688559,312450,1208697
840,PL/859/EXP/ES/2015,295423,14/08/24,25.37451613,25.24451613,1.005537634,0,5.913666667,3,12,5,0,0,leon,guanajuato,1721215,698529,231175,1457908
841,PL/860/EXP/ES/2015,313483,01/08/24,24.95989247,23.88526882,1.044892473,6,5.400333333,8,12,0,0,0,ensenada,baja california,443807,304689,325390,1233847
842,PL/861/EXP/ES/2015,312263,29/08/24,25.0211828,24.65924731,1.014978495,0,6.608333333,1,9,10,0,0,tijuana,baja california,1922523,1197583,325390,1233847
843,PL/862/EXP/ES/2015,199418,25/08/24,19.4120339,19.9320339,0.973389831,0,6.392982456,0,4,16,0,0,juarez,chihuahua,1512450,688559,312450,1208697
844,PL/863/EXP/ES/2015,303580,15/08/24,24.34333333,23.73913978,1.025322581,3,6.629666667,4,7,9,0,0,mexicali,baja california,1049792,736892,325390,1233847
845,PL/8672/EXP/ES/2015,581567,18/08/24,25.89,25.57548387,1.012354839,0,5.596333333,3,6,11,0,0,mazatlan,sinaloa,501441,278271,225547,696686
846,PL/869/EXP/ES/2015,306671,31/08/24,25.02548387,24.6383871,1.015731183,0,5.57,2,15,3,0,0,tijuana,baja california,1922523,1197583,325390,1233847
847,PL/870/EXP/ES/2015,174187,09/08/24,19.97245614,19.90315789,1.003719298,0,7.006,3,8,9,0,0,juarez,chihuahua,1512450,688559,312450,1208697
848,PL/873/EXP/ES/2015,634050,22/08/24,26.05182796,25.44494624,1.023634409,0,5.035,1,14,5,0,0,guadalajara,jalisco,1385629,1083269,272093,2359153
849,PL/8730/EXP/ES/2015,354560,31/08/24,24.58032258,24.55290323,1.000419355,27,7.072,6,4,9,1,0,tijuana,baja california,1922523,1197583,325390,1233847
850,PL/8744/EXP/ES/2015,498547,25/08/24,25.66741935,25.81086022,0.994483871,30,6.192333333,3,5,12,0,0,mazatlan,sinaloa,501441,278271,225547,696686
851,PL/8746/EXP/ES/2015,631206,21/08/24,25.66741935,25.81301075,0.994344086,0,5.904333333,1,13,6,0,0,mazatlan,sinaloa,501441,278271,225547,696686
852,PL/875/EXP/ES/2015,544869,10/08/24,25.15021505,24.81548387,1.013483871,0,5.730666667,2,10,8,0,0,tijuana,baja california,1922523,1197583,325390,1233847
853,PL/876/EXP/ES/2015,489617,01/08/24,24.93516129,24.64784946,1.011569892,0,5.86,4,10,6,0,0,tijuana,baja california,1922523,1197583,325390,1233847
854,PL/8762/EXP/ES/2015,686995,06/08/24,22.89612903,22.90236559,1.000107527,0,0,1,2,11,6,0,reynosa,tamaulipas,704767,443857,259394,928082
855,PL/877/EXP/ES/2015,224035,13/08/24,25.2244086,25.37225806,0.993741935,0,7.300666667,1,2,17,0,0,leon,guanajuato,1721215,698529,231175,1457908
856,PL/878/EXP/ES/2015,190939,24/08/24,25.39021739,25.25282609,1.005336957,14,6.330561798,5,14,1,0,0,leon,guanajuato,1721215,698529,231175,1457908
857,PL/880/EXP/ES/2015,396424,23/08/24,24.40612903,25.24666667,0.966645161,0,8.091,1,1,2,8,8,pedro escobedo,queretaro,77404,18515,309231,776909
858,PL/884/EXP/ES/2015,342323,08/08/24,26.18322581,25.91064516,1.010467742,0,5.171333333,3,17,0,0,0,benito juarez,quintana roo,911503,469490,256384,495759
859,PL/8928/EXP/ES/2015,358205,13/08/24,25.98677419,25.77569892,1.008139785,0,5.861666667,1,4,15,0,0,cajeme,sonora,436484,284762,372609,1118919
860,PL/8929/EXP/ES/2015,494263,27/08/24,25.98677419,25.79623656,1.007376344,11,6.549,6,14,0,0,0,cajeme,sonora,436484,284762,372609,1118919
861,PL/8956/EXP/ES/2015,674883,30/08/24,23.77924731,24.31688172,0.977913978,77,6.919333333,3,10,7,0,0,pachuca de soto,hidalgo,314331,145148,172978,558203
862,PL/8958/EXP/ES/2015,570601,10/08/24,21.83516129,21.62354839,1.009403226,0,6.918333333,2,5,13,0,0,san luis rio colorado,sonora,199021,132792,372609,1118919
863,PL/8964/EXP/ES/2015,230392,02/08/24,25.46666667,25.60215054,0.994763441,0,6.059333333,0,0,0,6,6,maravatio,guanajuato,,,231175,1457908
864,PL/897/EXP/ES/2015,470212,29/08/24,24.64483871,24.97387097,0.987306452,58,8.362,0,1,7,11,1,tijuana,baja california,1922523,1197583,325390,1233847
865,PL/8977/EXP/ES/2015,762417,04/08/24,25.90827957,25.76344086,1.005784946,0,6.671333333,1,6,13,0,0,cajeme,sonora,436484,284762,372609,1118919
866,PL/8988/EXP/ES/2015,451379,25/08/24,25.64096774,25.49145161,1.005967742,0,5.913,3,14,3,0,0,cajeme,sonora,436484,284762,372609,1118919
867,PL/899/EXP/ES/2015,186249,24/08/24,24.99,24.1833871,1.033096774,0,6.175,0,12,8,0,0,ensenada,baja california,443807,304689,325390,1233847
868,PL/902/EXP/ES/2015,163527,29/08/24,25.47580645,24.73376344,1.03,0,7.250333333,0,0,0,1,7,huichapan,hidalgo,47425,12190,172978,558203
869,PL/9021/EXP/ES/2015,228181,01/08/24,26.16978495,25.78806452,1.014569892,3,9.407333333,1,0,6,10,3,matehuala,san luis potosi,102199,67342,273114,783765
870,PL/904/EXP/ES/2015,523510,18/08/24,24.5727957,23.94666667,1.026311828,0,8.835666667,0,1,1,4,7,francisco i. madero,hidalgo,36248,8188,172978,558203
871,PL/9049/EXP/ES/2015,706839,10/08/24,24.1244086,24.49580645,0.984903226,23,5.187666667,7,12,1,0,0,ecatepec de morelos,mexico,1645352,1293116,162026,2854429
872,PL/9058/EXP/ES/2015,303704,18/08/24,23.89860215,23.45688172,1.018591398,22,6.162666667,2,18,0,0,0,chalco,mexico,400057,228933,162026,2854429
873,PL/9063/EXP/ES/2015,633028,06/08/24,24.115,24.21354839,0.995596774,0,5.755333333,7,5,8,0,0,coacalco de berriozabal,mexico,293444,235258,162026,2854429
874,PL/9065/EXP/ES/2015,630219,20/08/24,20.93629032,21.59080645,0.968741935,29,7.722666667,2,4,14,0,0,reynosa,tamaulipas,704767,443857,259394,928082
875,PL/9066/EXP/ES/2015,154273,26/08/24,25.46666667,25.49043011,0.998978495,62,6.74,0,0,3,8,1,maravatio,michoacan,89311,39061,176843,876341
876,PL/9067/EXP/ES/2015,955702,09/08/24,22.10333333,21.41494624,1.028677419,0,5.710666667,8,12,0,0,0,reynosa,tamaulipas,704767,443857,259394,928082
877,PL/907/EXP/ES/2015,473662,23/08/24,25.40935484,25.25387097,1.005419355,0,6.705333333,2,0,10,2,2,san miguel de allende,guanajuato,174615,62433,231175,1457908
878,PL/9070/EXP/ES/2015,224547,31/08/24,20.18,20.96322581,0.964790323,10,4.838333333,5,15,0,0,0,reynosa,tamaulipas,704767,443857,259394,928082
879,PL/9073/EXP/ES/2015,375379,09/08/24,22.71,22.815,0.995,32,6.941666667,0,0,0,0,1,reynosa,tamaulipas,704767,443857,259394,928082
880,PL/9074/EXP/ES/2015,430840,10/08/24,24.01903226,23.75516129,1.011107527,0,5.745666667,1,5,14,0,0,valle de chalco solidaridad,mexico,391731,173877,162026,2854429
881,PL/908/EXP/ES/2015,148176,03/08/24,25.42580645,24.9266129,1.020306452,0,7.146,0,0,0,0,7,san miguel de allende,guanajuato,174615,62433,231175,1457908
882,PL/9124/EXP/ES/2015,307402,27/08/24,24.07817204,24.82010753,0.970064516,20,5.884666667,0,6,4,2,4,huamantla,tlaxcala,98764,28090,131468,186670
883,PL/9127/EXP/ES/2015,421179,23/08/24,24.14053763,24.88139785,0.969892473,20,7.565,0,1,7,12,0,zumpango,mexico,280455,107701,162026,2854429
884,PL/9131/EXP/ES/2015,568095,20/08/24,23.41741935,23.92790323,0.978483871,45,7.151,0,11,9,0,0,pachuca de soto,hidalgo,314331,145148,172978,558203
885,PL/9135/EXP/ES/2015,197005,01/08/24,22.22419355,21.79129032,1.01772043,31,6.355333333,5,10,5,0,0,reynosa,tamaulipas,704767,443857,259394,928082
886,PL/9141/EXP/ES/2015,996192,30/08/24,23.82129032,23.79301075,1.000849462,22,6.377666667,6,5,9,0,0,chalco,mexico,400057,228933,162026,2854429
887,PL/9147/EXP/ES/2015,227216,24/08/24,23.88806452,23.82225806,1.002677419,31,7.425333333,0,1,0,2,8,tierra blanca,veracruz,95602,45314,165344,1343593
888,PL/9165/EXP/ES/2015,392296,19/08/24,24.61806452,24.6272043,0.999580645,0,6.74,0,0,0,4,16,epatlan,puebla,4943,806,165567,1086962
889,PL/9166/EXP/ES/2015,573644,01/08/24,23.78569892,24.46784946,0.971903226,34,6.806333333,6,8,6,0,0,queretaro,queretaro,1049777,478851,309231,776909
890,PL/927/EXP/ES/2015,498147,24/08/24,24.66634409,24.78430108,0.994903226,25,5.602333333,2,6,12,0,0,tijuana,baja california,1922523,1197583,325390,1233847
891,PL/9274/EXP/ES/2015,1139779,17/08/24,26.68666667,26.68075269,1.000301075,0,6.988,2,1,8,4,4,zapotlan el grande,jalisco,115141,70285,272093,2359153
892,PL/9275/EXP/ES/2015,521829,12/08/24,26.68666667,26.68,1.000333333,0,5.786,1,0,10,3,6,zapotlan el grande,jalisco,115141,70285,272093,2359153
893,PL/9276/EXP/ES/2015,358627,29/08/24,26.68666667,26.68698925,0.999989247,0,6.452,1,4,7,5,3,zapotlan el grande,jalisco,115141,70285,272093,2359153
894,PL/928/EXP/ES/2015,327909,15/08/24,25.13193548,24.77870968,1.014408602,18,5.787,8,10,2,0,0,tijuana,baja california,1922523,1197583,325390,1233847
895,PL/929/EXP/ES/2015,664319,01/08/24,24.20462366,23.9144086,1.011989247,0,5.458333333,1,11,8,0,0,mexicali,baja california,1049792,736892,325390,1233847
896,PL/930/EXP/ES/2015,398993,16/08/24,24.92655914,24.60602151,1.013021505,35,5.606333333,3,4,13,0,0,tijuana,baja california,1922523,1197583,325390,1233847
